,year,age,education,religion,happy,political_view,degree_obtained,political_view_id
55089,2012,22.0,16.0,Catholic,Very Happy,Moderate,Bachelor's,4.0
55090,2012,21.0,12.0,Catholic,Very Happy,Slightly Conservative,High School,5.0
55091,2012,42.0,12.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55092,2012,49.0,13.0,Protestant,Very Happy,Slightly Conservative,High School,5.0
55093,2012,70.0,16.0,Protestant,Very Happy,Liberal,Bachelor's,2.0
55094,2012,50.0,19.0,Protestant,Very Happy,Moderate,Bachelor's,4.0
55095,2012,35.0,15.0,Christian,Moderately Happy,Moderate,Associate/Junior College,4.0
55096,2012,24.0,11.0,Catholic,Moderately Happy,Moderate,Less Than High School,4.0
55097,2012,28.0,9.0,None,Not Happy,Conservative,Less Than High School,6.0
55098,2012,28.0,17.0,None,Moderately Happy,Liberal,Bachelor's,2.0
55099,2012,55.0,10.0,Catholic,Very Happy,Extremely Liberal,Less Than High School,1.0
55100,2012,36.0,16.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55101,2012,28.0,12.0,None,Not Happy,Moderate,High School,4.0
55102,2012,59.0,12.0,Protestant,Very Happy,Unknown,High School,
55103,2012,52.0,4.0,Catholic,Not Happy,Extremely Conservative,Less Than High School,7.0
55104,2012,35.0,13.0,Protestant,Moderately Happy,Slightly Liberal,High School,3.0
55105,2012,36.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55106,2012,47.0,13.0,Protestant,Moderately Happy,Conservative,High School,6.0
55107,2012,55.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55108,2012,18.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55109,2012,76.0,0.0,Catholic,Not Happy,Extremely Conservative,Less Than High School,7.0
55110,2012,39.0,10.0,Catholic,Moderately Happy,Extremely Conservative,Less Than High School,7.0
55111,2012,54.0,14.0,Protestant,Moderately Happy,Conservative,Associate/Junior College,6.0
55112,2012,45.0,16.0,None,Very Happy,Liberal,Associate/Junior College,2.0
55113,2012,71.0,12.0,Protestant,Very Happy,Slightly Conservative,High School,5.0
55114,2012,42.0,17.0,Orthodox-Christian,Moderately Happy,Moderate,Bachelor's,4.0
55115,2012,22.0,15.0,Protestant,Moderately Happy,Moderate,High School,4.0
55116,2012,50.0,10.0,Catholic,Very Happy,Moderate,Less Than High School,4.0
55117,2012,81.0,16.0,Catholic,Not Happy,Moderate,Bachelor's,4.0
55118,2012,44.0,13.0,Christian,Moderately Happy,Conservative,High School,6.0
55119,2012,78.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55120,2012,63.0,14.0,Catholic,Very Happy,Liberal,Associate/Junior College,2.0
55121,2012,73.0,19.0,None,Very Happy,Liberal,Graduate,2.0
55122,2012,40.0,16.0,Hinduism,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55123,2012,42.0,14.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55124,2012,62.0,18.0,Protestant,Moderately Happy,Liberal,Graduate,2.0
55125,2012,52.0,11.0,Protestant,Moderately Happy,Unknown,High School,
55126,2012,49.0,12.0,Protestant,Very Happy,Moderate,High School,4.0
55127,2012,27.0,17.0,None,Moderately Happy,Liberal,Bachelor's,2.0
